system,item,run,score
strong-1,task_000,1,0.7521
strong-1,task_000,2,0.6714
strong-1,task_000,3,0.9914
strong-2,task_000,1,0.7456
strong-2,task_000,2,0.8363
strong-2,task_000,3,0.7717
strong-3,task_000,1,0.9743
strong-3,task_000,2,0.9454
strong-3,task_000,3,0.8698
good-1,task_000,1,0.4877
good-1,task_000,2,0.7358
good-1,task_000,3,0.8053
good-2,task_000,1,0.8406
good-2,task_000,2,0.6621
good-2,task_000,3,0.9305
good-3,task_000,1,0.5849
good-3,task_000,2,0.6573
good-3,task_000,3,0.833
fair-1,task_000,1,0.6455
fair-1,task_000,2,0.8604
fair-1,task_000,3,0.6609
fair-2,task_000,1,0.5705
fair-2,task_000,2,0.5986
fair-2,task_000,3,0.5201
fair-3,task_000,1,0.4996
fair-3,task_000,2,0.7095
fair-3,task_000,3,0.704
weak-1,task_000,1,0.6025
weak-1,task_000,2,0.3771
weak-1,task_000,3,0.6459
weak-2,task_000,1,0.4285
weak-2,task_000,2,0.6333
weak-2,task_000,3,0.4125
weak-3,task_000,1,0.3792
weak-3,task_000,2,0.4876
weak-3,task_000,3,0.5736
strong-1,task_001,1,0.7766
strong-1,task_001,2,0.6945
strong-1,task_001,3,0.6113
strong-2,task_001,1,0.6047
strong-2,task_001,2,0.8142
strong-2,task_001,3,0.8677
strong-3,task_001,1,0.7408
strong-3,task_001,2,0.6407
strong-3,task_001,3,0.8549
good-1,task_001,1,0.548
good-1,task_001,2,0.6104
good-1,task_001,3,0.7572
good-2,task_001,1,0.4413
good-2,task_001,2,0.7314
good-2,task_001,3,0.6249
good-3,task_001,1,0.7009
good-3,task_001,2,0.6805
good-3,task_001,3,0.7111
fair-1,task_001,1,0.6752
fair-1,task_001,2,0.5154
fair-1,task_001,3,0.7552
fair-2,task_001,1,0.6787
fair-2,task_001,2,0.6917
fair-2,task_001,3,0.727
fair-3,task_001,1,0.6855
fair-3,task_001,2,0.6917
fair-3,task_001,3,0.6072
weak-1,task_001,1,0.2619
weak-1,task_001,2,0.404
weak-1,task_001,3,0.3342
weak-2,task_001,1,0.2624
weak-2,task_001,2,0.4473
weak-2,task_001,3,0.3563
weak-3,task_001,1,0.3056
weak-3,task_001,2,0.3041
weak-3,task_001,3,0.4484
strong-1,task_002,1,0.9219
strong-1,task_002,2,1.0
strong-1,task_002,3,0.8809
strong-2,task_002,1,0.9971
strong-2,task_002,2,1.0
strong-2,task_002,3,1.0
strong-3,task_002,1,0.6223
strong-3,task_002,2,1.0
strong-3,task_002,3,0.9198
good-1,task_002,1,0.8591
good-1,task_002,2,0.8533
good-1,task_002,3,0.8546
good-2,task_002,1,0.8476
good-2,task_002,2,0.773
good-2,task_002,3,0.6033
good-3,task_002,1,0.8005
good-3,task_002,2,0.7241
good-3,task_002,3,0.9313
fair-1,task_002,1,0.6907
fair-1,task_002,2,0.7316
fair-1,task_002,3,0.629
fair-2,task_002,1,0.6663
fair-2,task_002,2,0.7212
fair-2,task_002,3,0.5591
fair-3,task_002,1,0.7555
fair-3,task_002,2,0.7108
fair-3,task_002,3,0.592
weak-1,task_002,1,0.2787
weak-1,task_002,2,0.5989
weak-1,task_002,3,0.5097
weak-2,task_002,1,0.4842
weak-2,task_002,2,0.5165
weak-2,task_002,3,0.7423
weak-3,task_002,1,0.537
weak-3,task_002,2,0.552
weak-3,task_002,3,0.3789
strong-1,task_003,1,0.978
strong-1,task_003,2,0.8977
strong-1,task_003,3,0.9141
strong-2,task_003,1,0.802
strong-2,task_003,2,0.8976
strong-2,task_003,3,0.8376
strong-3,task_003,1,0.8642
strong-3,task_003,2,0.78
strong-3,task_003,3,0.6347
good-1,task_003,1,0.84
good-1,task_003,2,0.5139
good-1,task_003,3,0.7004
good-2,task_003,1,0.7043
good-2,task_003,2,0.6121
good-2,task_003,3,0.7942
good-3,task_003,1,0.7047
good-3,task_003,2,0.6787
good-3,task_003,3,0.784
fair-1,task_003,1,0.5844
fair-1,task_003,2,0.7896
fair-1,task_003,3,0.6754
fair-2,task_003,1,0.5846
fair-2,task_003,2,0.4229
fair-2,task_003,3,0.4929
fair-3,task_003,1,0.7563
fair-3,task_003,2,0.6312
fair-3,task_003,3,0.6056
weak-1,task_003,1,0.6375
weak-1,task_003,2,0.3157
weak-1,task_003,3,0.3924
weak-2,task_003,1,0.4048
weak-2,task_003,2,0.5213
weak-2,task_003,3,0.3838
weak-3,task_003,1,0.3893
weak-3,task_003,2,0.2802
weak-3,task_003,3,0.537
strong-1,task_004,1,0.783
strong-1,task_004,2,0.6419
strong-1,task_004,3,0.7123
strong-2,task_004,1,0.5521
strong-2,task_004,2,0.6424
strong-2,task_004,3,0.8459
strong-3,task_004,1,0.7092
strong-3,task_004,2,0.9484
strong-3,task_004,3,0.6077
good-1,task_004,1,0.6881
good-1,task_004,2,0.6028
good-1,task_004,3,0.6865
good-2,task_004,1,0.6235
good-2,task_004,2,0.5626
good-2,task_004,3,0.5289
good-3,task_004,1,0.9616
good-3,task_004,2,0.6158
good-3,task_004,3,0.4025
fair-1,task_004,1,0.4629
fair-1,task_004,2,0.6089
fair-1,task_004,3,0.4793
fair-2,task_004,1,0.6839
fair-2,task_004,2,0.6446
fair-2,task_004,3,0.5175
fair-3,task_004,1,0.4823
fair-3,task_004,2,0.4238
fair-3,task_004,3,0.4573
weak-1,task_004,1,0.1922
weak-1,task_004,2,0.4868
weak-1,task_004,3,0.5293
weak-2,task_004,1,0.2161
weak-2,task_004,2,0.2243
weak-2,task_004,3,0.1598
weak-3,task_004,1,0.2483
weak-3,task_004,2,0.0126
weak-3,task_004,3,0.2286
strong-1,task_005,1,0.9805
strong-1,task_005,2,0.7998
strong-1,task_005,3,0.9319
strong-2,task_005,1,0.7841
strong-2,task_005,2,1.0
strong-2,task_005,3,0.8598
strong-3,task_005,1,0.7958
strong-3,task_005,2,1.0
strong-3,task_005,3,0.8022
good-1,task_005,1,0.6335
good-1,task_005,2,0.7901
good-1,task_005,3,0.7636
good-2,task_005,1,0.8852
good-2,task_005,2,0.6665
good-2,task_005,3,0.8564
good-3,task_005,1,0.8617
good-3,task_005,2,0.6944
good-3,task_005,3,0.7858
fair-1,task_005,1,0.5865
fair-1,task_005,2,0.9359
fair-1,task_005,3,0.6004
fair-2,task_005,1,0.628
fair-2,task_005,2,0.5606
fair-2,task_005,3,0.6398
fair-3,task_005,1,0.6772
fair-3,task_005,2,0.7623
fair-3,task_005,3,0.6107
weak-1,task_005,1,0.4774
weak-1,task_005,2,0.342
weak-1,task_005,3,0.4068
weak-2,task_005,1,0.801
weak-2,task_005,2,0.6124
weak-2,task_005,3,0.4119
weak-3,task_005,1,0.3507
weak-3,task_005,2,0.3905
weak-3,task_005,3,0.4955
strong-1,task_006,1,0.9925
strong-1,task_006,2,0.9068
strong-1,task_006,3,0.8471
strong-2,task_006,1,1.0
strong-2,task_006,2,1.0
strong-2,task_006,3,0.9474
strong-3,task_006,1,0.9644
strong-3,task_006,2,0.9304
strong-3,task_006,3,0.6657
good-1,task_006,1,0.9314
good-1,task_006,2,0.8009
good-1,task_006,3,0.8083
good-2,task_006,1,0.8482
good-2,task_006,2,0.9992
good-2,task_006,3,0.7899
good-3,task_006,1,0.7609
good-3,task_006,2,0.989
good-3,task_006,3,1.0
fair-1,task_006,1,0.7232
fair-1,task_006,2,0.8905
fair-1,task_006,3,0.7966
fair-2,task_006,1,0.8618
fair-2,task_006,2,0.6899
fair-2,task_006,3,0.9203
fair-3,task_006,1,0.961
fair-3,task_006,2,0.8987
fair-3,task_006,3,0.8901
weak-1,task_006,1,0.2337
weak-1,task_006,2,0.6773
weak-1,task_006,3,0.6458
weak-2,task_006,1,0.6325
weak-2,task_006,2,0.5793
weak-2,task_006,3,0.6547
weak-3,task_006,1,0.694
weak-3,task_006,2,0.6196
weak-3,task_006,3,0.5977
strong-1,task_007,1,1.0
strong-1,task_007,2,0.8099
strong-1,task_007,3,1.0
strong-2,task_007,1,0.951
strong-2,task_007,2,0.8431
strong-2,task_007,3,0.8996
strong-3,task_007,1,0.8303
strong-3,task_007,2,1.0
strong-3,task_007,3,0.9698
good-1,task_007,1,0.8003
good-1,task_007,2,0.7403
good-1,task_007,3,0.8947
good-2,task_007,1,0.9668
good-2,task_007,2,0.849
good-2,task_007,3,0.9076
good-3,task_007,1,0.8202
good-3,task_007,2,0.869
good-3,task_007,3,0.8295
fair-1,task_007,1,0.8039
fair-1,task_007,2,0.6055
fair-1,task_007,3,0.8424
fair-2,task_007,1,0.7462
fair-2,task_007,2,0.811
fair-2,task_007,3,0.7341
fair-3,task_007,1,0.8068
fair-3,task_007,2,0.6536
fair-3,task_007,3,0.9023
weak-1,task_007,1,0.4041
weak-1,task_007,2,0.4772
weak-1,task_007,3,0.6175
weak-2,task_007,1,0.7524
weak-2,task_007,2,0.6221
weak-2,task_007,3,0.5643
weak-3,task_007,1,0.4348
weak-3,task_007,2,0.5705
weak-3,task_007,3,0.5893
strong-1,task_008,1,0.8534
strong-1,task_008,2,0.7358
strong-1,task_008,3,0.4992
strong-2,task_008,1,0.8903
strong-2,task_008,2,0.624
strong-2,task_008,3,0.5707
strong-3,task_008,1,0.8296
strong-3,task_008,2,0.6619
strong-3,task_008,3,0.627
good-1,task_008,1,0.6215
good-1,task_008,2,0.6903
good-1,task_008,3,0.7067
good-2,task_008,1,0.4461
good-2,task_008,2,0.8172
good-2,task_008,3,0.7016
good-3,task_008,1,0.5557
good-3,task_008,2,0.5073
good-3,task_008,3,0.4908
fair-1,task_008,1,0.521
fair-1,task_008,2,0.4361
fair-1,task_008,3,0.4233
fair-2,task_008,1,0.5966
fair-2,task_008,2,0.5475
fair-2,task_008,3,0.464
fair-3,task_008,1,0.5882
fair-3,task_008,2,0.6578
fair-3,task_008,3,0.387
weak-1,task_008,1,0.261
weak-1,task_008,2,0.4311
weak-1,task_008,3,0.4065
weak-2,task_008,1,0.3523
weak-2,task_008,2,0.4553
weak-2,task_008,3,0.2077
weak-3,task_008,1,0.1647
weak-3,task_008,2,0.2321
weak-3,task_008,3,0.3409
strong-1,task_009,1,0.49
strong-1,task_009,2,0.5239
strong-1,task_009,3,0.4703
