system,item,run,score
openai/gpt-4o-mini,gsm0000,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0000,a1_g1,1.0
openai/gpt-4o-mini,gsm0001,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0001,a1_g1,1.0
openai/gpt-4.1-nano,gsm0000,a1_g1,1.0
openai/gpt-4o-mini,gsm0002,a1_g1,1.0
openai/gpt-4.1-nano,gsm0001,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0001,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0001,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0002,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0001,a1_g1,1.0
openai/gpt-4o-mini,gsm0003,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0000,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0000,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0002,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0003,a1_g1,1.0
openai/gpt-4.1-nano,gsm0003,a1_g1,1.0
openai/gpt-4o-mini,gsm0004,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0003,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0002,a1_g1,1.0
openai/gpt-4.1-nano,gsm0002,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0004,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0003,a1_g1,1.0
openai/gpt-4o-mini,gsm0005,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0003,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0002,a1_g1,0.0
openai/gpt-4.1-nano,gsm0004,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0005,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0004,a1_g1,1.0
openai/gpt-4o-mini,gsm0006,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0005,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0004,a1_g1,1.0
openai/gpt-4.1-nano,gsm0006,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0006,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0006,a1_g1,1.0
openai/gpt-4o-mini,gsm0007,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0006,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0005,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0000,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0007,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0006,a1_g1,1.0
openai/gpt-4o-mini,gsm0008,a1_g1,1.0
openai/gpt-4.1-nano,gsm0005,a1_g1,0.0
openai/gpt-4.1-nano,gsm0007,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0004,a1_g1,0.0
meta-llama/llama-3.1-8b-instruct,gsm0008,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0007,a1_g1,0.0
openai/gpt-4o-mini,gsm0009,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0005,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0007,a1_g1,1.0
openai/gpt-4.1-nano,gsm0008,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0009,a1_g1,1.0
openai/gpt-4.1-nano,gsm0009,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0008,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0009,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0009,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0008,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0010,a1_g1,1.0
openai/gpt-4.1-nano,gsm0010,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0010,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0009,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0007,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0008,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0010,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0010,a1_g1,1.0
openai/gpt-4.1-nano,gsm0011,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0011,a1_g1,1.0
openai/gpt-4o-mini,gsm0010,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0011,a1_g1,1.0
openai/gpt-4o-mini,gsm0011,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0011,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0011,a1_g1,1.0
openai/gpt-4.1-nano,gsm0012,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0012,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0012,a1_g1,0.0
openai/gpt-4o-mini,gsm0012,a1_g1,0.0
openai/gpt-4.1-nano,gsm0013,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0012,a1_g1,0.0
meta-llama/llama-3.3-70b-instruct,gsm0014,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0013,a1_g1,1.0
openai/gpt-4o-mini,gsm0014,a1_g1,1.0
openai/gpt-4.1-nano,gsm0014,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0013,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0014,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0014,a1_g1,1.0
openai/gpt-4.1-nano,gsm0015,a1_g1,1.0
openai/gpt-4o-mini,gsm0013,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0014,a1_g1,1.0
